"obs_nmd_rmse","obs_nmd_cor","obs_nmd_bias","obs_nmd_pcna","obs_nmd_slp","obs_nbc_rmse","obs_nbc_cor","obs_nbc_bias","obs_nbc_pcna","obs_nbc_slp","obs_hmd_rmse","obs_hmd_cor","obs_hmd_bias","obs_hmd_pcna","obs_hmd_slp","obs_hbc_rmse","obs_hbc_cor","obs_hbc_bias","obs_hbc_pcna","obs_hbc_slp","reg","best_method"
0,1,0,84.4697,1.239,0,1,0,84.4697,3.3632,9.8917,0.9908,-4.3321,84.4697,5.1417,8.0257,0.9935,-3.1092,84.4697,5.7444,"CAS","obs_nmd"
0,1,0,85.2273,-0.0759,0,1,0,85.2273,0.0184,1.6317,0.9935,-0.1791,85.2273,0.2407,1.674,0.9927,-0.0613,85.2273,0.1575,"PAD","obs_nmd"
0.0048,1,-0.001,79.3561,0.022,0.0048,1,-0.001,79.3561,0.0468,6.7516,0.9954,-2.1888,79.3561,2.0689,6.3947,0.9959,-2.0644,79.3561,2.172,"CAS","obs_nmd"
0.0069,1,5e-04,53.9773,0.1185,0.0069,1,5e-04,53.9773,0.1387,1.2639,0.8501,0.1786,53.9773,0.0591,1.492,0.8277,0.2102,53.9773,0.0736,"PAD","obs_nmd"
0.0115,1,-0.0042,53.5985,0,0.0115,1,-0.0042,53.5985,0.0333,0,1,0,53.5985,0.0419,0,1,0,53.5985,0.0378,"PAD","obs_nmd"
0,1,0,72.1591,5.1726,0,1,0,72.1591,3.699,4.6712,0.9973,0.5892,72.1591,3.743,2.989,0.9989,-0.105,72.1591,4.4211,"CAS","obs_hbc"
0,1,0,84.8485,-0.2184,0,1,0,84.8485,-0.4178,5.2336,0.9782,0.8161,84.8485,-0.9479,4.7202,0.982,0.306,84.8485,-0.8735,"CAS","obs_nmd"
0.0079,1,-0.0018,71.0227,1.7737,0.0079,1,-0.0018,71.0227,0.7636,14.7822,0.9637,-2.3995,71.0227,3.3216,18.3012,0.9403,-3.0451,71.0227,3.3734,"CAS","obs_nmd"
0,1,0,69.3182,0.8986,0,1,0,69.3182,-0.4163,0,1,0,69.3182,0.8948,2.7758,0.9858,0.4847,69.3182,-0.4225,"CAS","obs_nbc"
0,1,0,85.2273,0.8996,0,1,0,85.2273,2.7153,5.724,0.9969,-1.7836,85.2273,3.2526,5.4205,0.9972,-1.6184,85.2273,4.2364,"CAS","obs_nbc"
0.0039,1,-5e-04,63.8258,0.1091,0.0039,1,-5e-04,63.8258,0.0833,0.4805,0.7708,0.0496,63.8258,0.0706,0.2681,0.8959,0.0252,63.8258,0.059,"PAD","obs_hbc"
0,1,0,82.3864,0.7704,0,1,0,82.3864,0.7018,0.2082,0.9953,0.0209,82.3864,0.7935,0.1446,0.9977,0.0216,82.3864,0.7171,"PAD","obs_nbc"
0.0419,0.9996,-0.011,50,0.1066,0.0419,0.9996,-0.011,50,0.0889,0.2329,0.9851,-0.0129,50,0.1079,0.2408,0.9841,-0.0155,50,0.0878,"PAD","obs_hmd"
0,1,0,86.3636,2.4243,0,1,0,86.3636,2.4555,3.4109,0.9962,0.7485,86.3636,1.6499,3.6178,0.9959,0.9042,86.3636,1.634,"CAS","obs_nmd"
5e-04,1,0,87.3106,-1.204,5e-04,1,0,87.3106,-0.9416,7.0235,0.988,-1.8176,87.3106,0.2852,7.5404,0.9874,-2.2866,87.3106,1.0046,"CAS","obs_nmd"
0,1,0,72.7273,-0.6637,0,1,0,72.7273,0.1197,0.659,0.9935,0.076,72.7273,-0.3694,0,1,0,72.7273,0.1186,"PAD","obs_nbc"
0,1,0,51.3258,6.4037,0,1,0,51.3258,2.9775,4.3307,0.9983,0.9509,51.3258,3.4463,3.6476,0.9988,-0.9838,51.3258,4.8836,"CAS","obs_hmd"
0,1,0,81.4394,2.7337,0,1,0,81.4394,1.9781,3.3135,0.9969,-0.8984,81.4394,3.61,6.7455,0.9888,-2.0602,81.4394,3.52,"CAS","obs_nmd"
0,1,0,27.0833,3.549,0,1,0,27.0833,2.1799,0,1,0,27.0833,3.4814,0,1,0,27.0833,2.9891,"CAS","obs_hmd"
0,1,0,40.1515,-0.6842,0,1,0,40.1515,-0.2769,0,1,0,40.1515,-0.0687,0,1,0,40.1515,0.0637,"PAD","obs_nbc"
0,1,0,85.0379,-2.2231,0,1,0,85.0379,-2.015,18.761,0.9535,-5.3993,85.0379,1.5429,19.9666,0.9454,-5.7296,85.0379,2.2233,"CAS","obs_nmd"
0.0018,1,-1e-04,50.3788,5.006,0.0018,1,-1e-04,50.3788,5.4962,9.4982,0.9926,1.6395,50.3788,1.7897,6.1847,0.9967,0.8639,50.3788,3.4157,"CAS","obs_nbc"
