"obs_nmd_rmse","obs_nmd_cor","obs_nmd_bias","obs_nmd_pcna","obs_nmd_slp","obs_nbc_rmse","obs_nbc_cor","obs_nbc_bias","obs_nbc_pcna","obs_nbc_slp","obs_hmd_rmse","obs_hmd_cor","obs_hmd_bias","obs_hmd_pcna","obs_hmd_slp","obs_hbc_rmse","obs_hbc_cor","obs_hbc_bias","obs_hbc_pcna","obs_hbc_slp","reg","best_method"
0.0199,1,-0.006,71.9697,0.65,0.0199,1,-0.006,71.9697,0.322,1.6277,0.9548,-0.3268,71.9697,0.3268,1.66,0.9526,-0.3097,71.9697,0.1506,"PAD","obs_nmd"
0.0706,0.9996,-0.0372,89.9621,0.0225,0.0706,0.9996,-0.0372,89.9621,0.0233,0.6721,0.9508,-0.0744,89.9621,0.1109,0.6837,0.949,-0.0738,89.9621,0.1161,"PAD","obs_nmd"
0.062,0.9982,-0.0281,61.7424,0.0548,0.062,0.9982,-0.0281,61.7424,0.04,0.154,0.9863,0.0083,61.7424,0.0675,0.154,0.9863,0.0083,61.7424,0.0312,"PAD","obs_nmd"
0.0214,1,-0.011,88.447,2.3519,0.0214,1,-0.011,88.447,2.8962,20.1106,0.958,-6.828,88.447,6.7298,20.2597,0.9492,-2.3642,88.447,6.0756,"CAS","obs_nmd"
0.0148,1,-0.0063,83.7121,1.9382,0.0148,1,-0.0063,83.7121,2.1288,15.6193,0.9808,-5.3833,83.7121,6.235,12.4939,0.9865,-3.7969,83.7121,5.3525,"CAS","obs_nbc"
0.0274,1,-0.0102,20.6439,0.75,0.0274,1,-0.0102,20.6439,0.8132,0,1,0,20.6439,1.9302,0,1,0,20.6439,1.7624,"CAS","obs_nbc"
0.0185,1,-0.0085,55.6818,-0.0872,0.0185,1,-0.0085,55.6818,0.2842,0.7432,0.9891,-0.0898,55.6818,0.5822,0.7418,0.9891,-0.0898,55.6818,0.6139,"CAS","obs_nmd"
0.0268,1,-0.0163,47.9167,2.9529,0.0268,1,-0.0163,47.9167,3.3506,9.8195,0.966,0.4904,47.9167,4.2894,2.7921,0.9971,-0.2396,47.9167,4.8924,"CAS","obs_nbc"
0,1,0,72.9167,0.1335,0,1,0,72.9167,0.1282,0.4669,0.8691,0.0171,72.9167,0.1405,0.4076,0.8964,0.006,72.9167,0.1361,"PAD","obs_hbc"
0.0996,0.9993,-0.0471,62.6894,0.1571,0.0996,0.9993,-0.0471,62.6894,0.1446,253.7147,0.0305,46.825,62.6894,0.6944,0.2693,0.9964,-0.0148,62.6894,0.1734,"PAD","obs_nmd"
